ID,MONTHS_BALANCE,STATUS,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5008893,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008894,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008895,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008912,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008914,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008916,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008918,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008919,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008920,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008921,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008922,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008923,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008924,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008925,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008926,0.0,0,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008927,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008928,0.0,1,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008929,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008930,0.0,0,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008931,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008932,0.0,0,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008933,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008934,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008935,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008936,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008937,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008938,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008939,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008940,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008941,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008943,0.0,X,F,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,High skill tech staff,2
5008947,0.0,X,M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,Drivers,2
5008949,0.0,X,M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,Drivers,2
5008950,0.0,X,M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,Drivers,2
5008955,0.0,0,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,Laborers,2
5008956,0.0,C,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,Laborers,2
5008958,0.0,0,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,Laborers,2
5008959,0.0,C,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,Laborers,2
5008960,0.0,C,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,Laborers,2
5008962,0.0,C,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,Laborers,2
5008963,0.0,C,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,Laborers,2
5008981,0.0,X,M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,Drivers,2
5008984,0.0,C,M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,Drivers,2
5008986,0.0,X,M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,Drivers,2
5008987,0.0,C,M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,Drivers,2
5008988,0.0,X,M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,Drivers,2
5008992,0.0,C,F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,Cleaning staff,1
5008993,0.0,0,F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,Cleaning staff,1
5008994,0.0,0,F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,Cleaning staff,1
5009000,0.0,C,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-9927,-828,Drivers,2
5009012,0.0,0,M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,Laborers,2
5009027,0.0,0,F,Y,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19861,-10843,Laborers,2
5009029,0.0,C,F,Y,Y,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14450,-2777,Laborers,2
5009031,0.0,C,F,N,Y,0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10554,-1194,Accountants,1
5009032,0.0,C,F,N,Y,0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10554,-1194,Accountants,1
5009039,0.0,C,F,N,Y,2,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14326,-555,Core staff,3
5009040,0.0,C,F,N,Y,2,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14326,-555,Core staff,3
5009042,0.0,X,F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,-17641,-889,Core staff,2
5009046,0.0,0,F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,-17641,-889,Core staff,2
5009047,0.0,0,F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,-17641,-889,Core staff,2
5009052,0.0,C,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,-10997,-2289,Core staff,4
5009057,0.0,0,M,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-8861,-889,Drivers,1
5009058,0.0,X,F,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-7489,-797,Private service staff,1
5009063,0.0,C,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10450,-2077,Sales staff,2
5009064,0.0,X,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10450,-2077,Sales staff,2
5009065,0.0,X,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10450,-2077,Sales staff,2
5009066,0.0,0,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10450,-2077,Sales staff,2
5009068,0.0,C,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10450,-2077,Sales staff,2
5009069,0.0,C,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10450,-2077,Sales staff,2
5009071,0.0,C,F,Y,Y,0,270000.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,-10264,-3173,High skill tech staff,2
5009074,0.0,0,F,Y,Y,1,450000.0,State servant,Higher education,Married,House / apartment,-17726,-708,Core staff,3
5009078,0.0,C,M,N,Y,1,180000.0,Working,Secondary / secondary special,Married,With parents,-14122,-1286,Drivers,3
5009079,0.0,C,F,N,Y,0,112500.0,Working,Higher education,Civil marriage,House / apartment,-10064,-3173,Laborers,2
5009080,0.0,C,F,N,Y,0,112500.0,Working,Higher education,Civil marriage,House / apartment,-10064,-3173,Laborers,2
5009084,0.0,0,M,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-20531,-5730,Drivers,2
5009089,0.0,0,M,Y,N,2,202500.0,Commercial associate,Higher education,Married,House / apartment,-14730,-2989,Laborers,4
5009090,0.0,0,M,Y,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,-12628,-4025,Drivers,2
5009092,0.0,1,M,Y,Y,1,765000.0,Working,Higher education,Married,House / apartment,-12197,-1194,Managers,3
5009094,0.0,0,M,Y,Y,1,765000.0,Working,Higher education,Married,House / apartment,-12197,-1194,Managers,3
5009095,0.0,0,M,Y,Y,1,765000.0,Working,Higher education,Married,House / apartment,-12197,-1194,Managers,3
5009096,0.0,C,F,N,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13679,-4391,Accountants,3
5009098,0.0,C,F,N,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13679,-4391,Accountants,3
5009100,0.0,X,F,N,Y,0,315000.0,Working,Higher education,Separated,House / apartment,-13271,-555,Managers,1
5009103,0.0,C,M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,With parents,-12859,-4056,Drivers,4
5009104,0.0,X,M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,With parents,-12859,-4056,Drivers,4
5009105,0.0,X,M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,With parents,-12859,-4056,Drivers,4
5009106,0.0,X,M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,With parents,-12859,-4056,Drivers,4
5112876,0.0,C,M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,With parents,-12859,-4056,Drivers,4
5009108,0.0,0,M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15321,-2747,Security staff,2
5009109,0.0,C,M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15321,-2747,Security staff,2
5009110,0.0,0,F,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-8842,-312,High skill tech staff,2
5009141,0.0,C,F,N,N,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-9657,-1560,Managers,2
5009142,0.0,C,F,N,N,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-9657,-1560,Managers,2
5009147,0.0,C,M,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,-15825,-3720,Managers,2
5009149,0.0,C,M,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,-15825,-3720,Managers,2
5009150,0.0,C,M,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,-15825,-3720,Managers,2
5009151,0.0,C,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19575,-2901,Sales staff,2
5009152,0.0,C,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19575,-2901,Sales staff,2
5009154,0.0,C,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19575,-2901,Sales staff,2
5009155,0.0,C,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19575,-2901,Sales staff,2
5009156,0.0,C,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19575,-2901,Sales staff,2
5009158,0.0,C,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19575,-2901,Sales staff,2
5009159,0.0,C,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19575,-2901,Sales staff,2
5009160,0.0,C,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19575,-2901,Sales staff,2
5009161,0.0,C,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19575,-2901,Sales staff,2
5009163,0.0,0,F,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-12915,-3174,Sales staff,2
5009166,0.0,0,F,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-12915,-3174,Sales staff,2
5009177,0.0,C,M,Y,N,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,-18325,-1256,Laborers,2
5009178,0.0,0,M,Y,N,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,-18325,-1256,Laborers,2
5009180,0.0,C,M,Y,N,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,-18325,-1256,Laborers,2
5009181,0.0,0,M,Y,N,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,-18325,-1256,Laborers,2
5009182,0.0,C,M,Y,N,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,-18325,-1256,Laborers,2
5009183,0.0,C,M,Y,N,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,-18325,-1256,Laborers,2
5009186,0.0,0,F,N,N,0,270000.0,Working,Higher education,Married,House / apartment,-17573,-5792,Managers,2
5009187,0.0,0,F,N,N,0,270000.0,Working,Higher education,Married,House / apartment,-17573,-5792,Managers,2
5009188,0.0,C,F,N,N,0,270000.0,Working,Higher education,Married,House / apartment,-17573,-5792,Managers,2
5009189,0.0,C,F,N,N,0,270000.0,Working,Higher education,Married,House / apartment,-17573,-5792,Managers,2
5009190,0.0,C,F,N,N,0,270000.0,Working,Higher education,Married,House / apartment,-17573,-5792,Managers,2
5009192,0.0,C,F,N,N,0,270000.0,Working,Higher education,Married,House / apartment,-17573,-5792,Managers,2
5009201,0.0,0,F,N,N,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,-20953,-8684,Accountants,2
5009202,0.0,0,F,N,N,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,-20953,-8684,Accountants,2
5009204,0.0,0,F,N,N,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,-20953,-8684,Accountants,2
5009205,0.0,X,F,N,N,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,-20953,-8684,Accountants,2
5009206,0.0,C,F,N,N,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,-20953,-8684,Accountants,2
5009208,0.0,C,F,N,N,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,-20953,-8684,Accountants,2
5009209,0.0,0,F,N,N,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,-20953,-8684,Accountants,2
5009213,0.0,X,F,N,N,0,270000.0,Working,Higher education,Married,House / apartment,-12333,-860,Accountants,2
5009215,0.0,C,F,N,N,0,270000.0,Working,Higher education,Married,House / apartment,-12333,-860,Accountants,2
5009216,0.0,C,F,N,N,0,270000.0,Working,Higher education,Married,House / apartment,-12333,-860,Accountants,2
5009217,0.0,X,F,N,N,0,270000.0,Working,Higher education,Married,House / apartment,-12333,-860,Accountants,2
5009220,0.0,C,F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-14667,-798,Managers,2
5009224,0.0,C,F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-14667,-798,Managers,2
5009226,0.0,C,F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-14667,-798,Managers,2
5009227,0.0,0,F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-14667,-798,Managers,2
5009232,0.0,C,F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-14667,-798,Managers,2
5009234,0.0,X,F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-14667,-798,Managers,2
5009236,0.0,0,F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-14667,-798,Managers,2
5009239,0.0,C,M,Y,N,0,157500.0,Working,Incomplete higher,Married,With parents,-10611,-982,Drivers,2
5009241,0.0,C,M,Y,N,0,157500.0,Working,Incomplete higher,Married,With parents,-10611,-982,Drivers,2
5009242,0.0,C,F,N,N,0,74250.0,Working,Higher education,Separated,Municipal apartment,-19082,-5243,Core staff,1
5009243,0.0,C,F,N,N,0,74250.0,Working,Higher education,Separated,Municipal apartment,-19082,-5243,Core staff,1
5009244,0.0,C,F,N,N,0,74250.0,Working,Higher education,Separated,Municipal apartment,-19082,-5243,Core staff,1
5009249,0.0,C,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-9957,-921,Drivers,3
5009250,0.0,C,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-9957,-921,Drivers,3
5009251,0.0,C,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-9957,-921,Drivers,3
5009252,0.0,C,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-9957,-921,Drivers,3
5009253,0.0,C,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-9957,-921,Drivers,3
5009255,0.0,0,F,N,N,0,144000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15970,-8987,Cleaning staff,1
5009260,0.0,C,F,N,N,0,202500.0,State servant,Higher education,Married,With parents,-14562,-1287,Core staff,2
5009262,0.0,C,F,N,N,0,202500.0,State servant,Higher education,Married,With parents,-14562,-1287,Core staff,2
5009263,0.0,C,F,N,N,0,202500.0,State servant,Higher education,Married,With parents,-14562,-1287,Core staff,2
5009266,0.0,C,M,Y,N,0,337500.0,State servant,Higher education,Married,With parents,-10266,-1652,Managers,2
5009267,0.0,C,M,Y,N,0,337500.0,State servant,Higher education,Married,With parents,-10266,-1652,Managers,2
5009268,0.0,C,M,Y,N,0,337500.0,State servant,Higher education,Married,With parents,-10266,-1652,Managers,2
5009269,0.0,C,M,Y,N,0,337500.0,State servant,Higher education,Married,With parents,-10266,-1652,Managers,2
5009270,0.0,0,M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-14781,-2443,Laborers,2
5009272,0.0,X,M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-14781,-2443,Laborers,2
5009275,0.0,X,M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-14781,-2443,Laborers,2
5009276,0.0,0,M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-14781,-2443,Laborers,2
5009278,0.0,C,F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15140,-4816,Cleaning staff,2
5009280,0.0,C,F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15140,-4816,Cleaning staff,2
5009281,0.0,X,F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15140,-4816,Cleaning staff,2
5009284,0.0,C,F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15140,-4816,Cleaning staff,2
5009287,0.0,0,F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15140,-4816,Cleaning staff,2
5009289,0.0,C,F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15140,-4816,Cleaning staff,2
5009290,0.0,C,F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15140,-4816,Cleaning staff,2
5009292,0.0,X,F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15140,-4816,Cleaning staff,2
5009293,0.0,C,F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15140,-4816,Cleaning staff,2
5009294,0.0,C,F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15140,-4816,Cleaning staff,2
5009297,0.0,1,F,N,N,0,193500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-16099,-1866,Laborers,1
5009299,0.0,X,F,N,N,0,193500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-16099,-1866,Laborers,1
5009300,0.0,X,F,N,N,0,193500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-16099,-1866,Laborers,1
5009301,0.0,C,F,N,N,0,193500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-16099,-1866,Laborers,1
5009325,0.0,X,M,Y,N,0,267750.0,Working,Higher education,Married,House / apartment,-20991,-4727,Laborers,2
5009330,0.0,C,M,Y,N,0,267750.0,Working,Higher education,Married,House / apartment,-20991,-4727,Laborers,2
5009335,0.0,0,F,N,N,0,139500.0,Working,Higher education,Separated,House / apartment,-16203,-7100,Managers,1
